,city,lat,lng,temp,humidity,cloudiness,wind_spd,country
222,mackenzie,55.3,-123.17,48.2,76.0,75.0,4.7,CA
223,atar,20.52,-13.05,105.85,8.0,0.0,16.37,MR
224,boyolangu,-8.12,111.89,77.36,84.0,94.0,1.52,ID
227,inuvik,68.35,-133.72,48.2,45.0,5.0,8.05,CA
228,paamiut,61.99,-49.67,37.4,82.0,93.0,8.43,GL
229,kununurra,-15.77,128.73,60.8,67.0,70.0,11.41,AU
230,mount gambier,-37.83,140.77,53.6,93.0,90.0,6.93,AU
231,yantal,56.85,105.25,50.31,54.0,1.0,1.68,RU
232,berlevag,70.86,29.09,39.27,86.0,4.0,14.41,NO
233,georgetown,5.41,100.34,79.45,94.0,20.0,2.24,MY
234,torbay,47.67,-52.73,57.04,62.0,75.0,27.51,CA
235,axim,4.87,-2.24,81.55,78.0,90.0,10.47,GH
236,catuday,16.29,119.81,83.5,82.0,100.0,13.02,PH
237,cordoba,-31.41,-64.18,50.63,57.0,75.0,20.8,AR
238,takoradi,4.88,-1.76,82.56,77.0,62.0,12.62,GH
239,naze,28.37,129.48,71.6,88.0,90.0,12.75,JP
240,letterkenny,54.95,-7.73,56.3,54.0,75.0,46.08,IE
241,cabedelo,-6.98,-34.83,86.0,66.0,75.0,13.87,BR
242,otradnoye,59.78,30.82,51.17,30.0,43.0,11.18,RU
243,moba,33.23,105.02,54.0,86.0,100.0,3.69,CN
244,mar del plata,-38.0,-57.56,56.57,71.0,40.0,23.04,AR
245,kharp,66.8,65.81,55.08,56.0,20.0,8.12,RU
246,boueni,-12.9,45.08,78.8,74.0,20.0,13.87,YT
248,qaanaaq,77.48,-69.36,34.72,83.0,0.0,1.28,GL
250,asosa,10.07,34.53,64.22,100.0,93.0,1.97,ET
252,san ciro de acosta,21.63,-99.82,90.19,36.0,6.0,4.32,MX
253,hofn,64.25,-15.21,51.8,57.0,20.0,16.11,IS
254,vestmannaeyjar,63.44,-20.27,51.8,71.0,40.0,5.82,IS
255,oktyabrskiy,54.48,53.47,48.31,70.0,81.0,2.95,RU
257,flinders,-34.58,150.86,55.0,75.0,88.0,8.99,AU
258,chulym,55.1,80.96,55.24,58.0,1.0,5.32,RU
259,manokwari,-0.87,134.08,80.22,78.0,100.0,4.12,ID
260,quang ngai,15.12,108.8,79.61,83.0,100.0,2.44,VN
261,cooma,-36.23,149.13,39.2,100.0,90.0,26.4,AU
262,krasnozerskoye,53.98,79.24,57.67,44.0,0.0,7.52,RU
263,victoria,22.29,114.16,78.69,83.0,100.0,5.99,HK
264,bullhead city,35.15,-114.57,80.15,16.0,5.0,8.05,US
265,padang,-0.95,100.35,80.2,69.0,94.0,3.11,ID
266,grand gaube,-20.01,57.66,73.99,68.0,29.0,11.99,MU
267,mindelo,16.89,-24.98,82.4,58.0,20.0,23.04,CV
268,nome,64.5,-165.41,48.2,70.0,90.0,12.75,US
270,areosa,41.72,-8.86,69.94,82.0,40.0,11.41,PT
271,dongsheng,39.82,109.98,52.52,59.0,50.0,16.6,CN
272,gogrial,8.53,28.1,78.31,75.0,89.0,4.54,SS
273,iqaluit,63.75,-68.51,30.09,58.0,20.0,23.04,CA
274,chokurdakh,70.63,147.92,20.41,98.0,83.0,3.53,RU
275,flagstaff,35.2,-111.65,61.11,18.0,1.0,16.11,US
276,kalmunai,7.42,81.82,83.46,77.0,58.0,3.74,LK
277,nelson bay,-32.72,152.15,54.93,66.0,90.0,24.16,AU
278,ostrovnoy,68.05,39.51,34.77,86.0,74.0,9.15,RU
279,tari,12.41,4.49,101.89,19.0,78.0,7.76,NG
280,kahama,-3.83,32.6,68.0,66.0,3.0,3.6,TZ
281,ancud,-41.87,-73.82,49.46,81.0,83.0,6.93,CL
282,kidal,18.44,1.41,99.19,8.0,0.0,14.54,ML
284,havelock,34.88,-76.9,78.51,54.0,75.0,6.93,US
285,yerbogachen,61.28,108.01,54.63,46.0,0.0,2.21,RU
286,port hedland,-20.32,118.57,64.4,34.0,0.0,8.05,AU
287,tarko-sale,64.92,77.78,62.28,43.0,77.0,5.48,RU
288,achit,56.8,57.9,48.16,87.0,51.0,7.85,RU
289,kamina,-8.74,24.99,69.37,65.0,64.0,2.91,CD
290,meulaboh,4.14,96.13,77.27,91.0,100.0,6.58,ID
291,general pico,-35.66,-63.76,57.78,36.0,0.0,10.74,AR
292,deniliquin,-35.53,144.97,45.0,85.0,99.0,1.01,AU
293,ahuimanu,21.44,-157.84,74.5,69.0,90.0,9.17,US
294,hodmezovasarhely,46.42,20.33,69.01,18.0,0.0,1.66,HU
295,suzhou,31.31,120.62,70.0,76.0,39.0,7.0,CN
296,clyde river,70.47,-68.59,28.4,79.0,75.0,8.05,CA
298,marigot,18.07,-63.08,86.0,72.0,38.0,5.01,MF
299,foam lake,51.65,-103.53,67.1,41.0,0.0,10.42,CA
300,biscarrosse,44.39,-1.17,68.0,77.0,75.0,10.29,FR
301,dwarka,22.24,68.97,83.95,78.0,0.0,12.41,IN
302,champasak,14.75,106.0,76.64,88.0,100.0,1.23,LA
303,sterling,39.01,-77.43,65.71,93.0,90.0,3.36,US
304,kologriv,58.83,44.32,40.89,95.0,100.0,9.31,RU
305,lethem,3.38,-59.8,91.78,51.0,89.0,9.64,GY
306,gravelbourg,49.88,-106.55,55.15,59.0,99.0,14.94,CA
307,goderich,43.75,-81.72,68.34,54.0,18.0,8.37,CA
308,nanortalik,60.14,-45.24,42.69,63.0,100.0,22.7,GL
309,nouadhibou,20.93,-17.03,71.6,68.0,0.0,25.28,MR
310,aklavik,68.22,-135.01,48.2,39.0,5.0,5.82,CA
311,saint george,37.1,-113.58,71.87,19.0,1.0,11.36,US
312,constitucion,-35.33,-72.42,60.69,40.0,6.0,7.0,CL
313,amahai,-3.33,128.92,79.61,84.0,88.0,2.15,ID
314,berck,50.4,1.6,60.8,72.0,95.0,13.87,FR
315,rocafuerte,-0.92,-80.43,82.4,74.0,75.0,10.29,EC
316,hammerfest,70.66,23.68,44.6,52.0,23.0,6.93,NO
317,watertown,42.37,-71.18,78.82,39.0,1.0,13.87,US
318,lucea,18.45,-78.17,85.48,74.0,20.0,11.41,JM
319,birsk,55.42,55.54,48.51,70.0,54.0,4.54,RU
320,nata,8.33,-80.52,82.4,54.0,75.0,3.36,PA
321,pandan,14.05,124.17,81.7,82.0,100.0,5.79,PH
323,thompson,55.74,-97.86,35.6,90.0,90.0,9.17,CA
324,cabinda,-5.55,12.2,80.98,83.0,35.0,8.39,AO
325,coihaique,-45.58,-72.07,48.2,66.0,75.0,5.82,CL
326,buchanan,5.88,-10.05,86.0,79.0,75.0,11.41,LR
327,aykhal,66.0,111.5,55.4,79.0,0.0,6.71,RU
328,mitsamiouli,-11.38,43.28,79.57,68.0,6.0,10.47,KM
329,asau,46.43,26.4,57.34,85.0,75.0,11.41,RO
330,sur,22.57,59.53,85.32,73.0,0.0,10.22,OM
331,tuatapere,-46.13,167.68,43.77,85.0,7.0,4.29,NZ
332,dong hoi,17.48,106.6,82.78,83.0,100.0,3.38,VN
333,tongren,27.72,109.19,68.49,85.0,0.0,1.19,CN
334,saldanha,-33.01,17.94,62.6,63.0,0.0,5.82,ZA
335,akyab,20.15,92.9,84.63,83.0,100.0,6.89,MM
336,rio gallegos,-51.62,-69.22,50.0,61.0,100.0,19.46,AR
337,rawson,-43.3,-65.1,60.26,32.0,59.0,16.28,AR
338,ascension,30.22,-90.9,86.65,62.0,1.0,8.05,US
339,pinhao,-25.7,-51.66,61.81,99.0,100.0,6.35,BR
340,bereda,43.27,-7.54,67.73,81.0,86.0,8.99,ES
341,bundaberg,-24.85,152.35,55.72,62.0,90.0,10.29,AU
342,mayo,38.89,-76.51,64.9,93.0,90.0,5.82,US
343,jawhar,2.78,45.5,78.4,80.0,70.0,13.76,SO
344,luderitz,-26.65,15.16,62.6,77.0,0.0,19.46,NA
345,hohhot,40.81,111.65,51.8,81.0,58.0,6.71,CN
346,burnie,-41.07,145.92,40.51,84.0,0.0,4.0,AU
347,viedma,-40.81,-63.0,58.78,35.0,0.0,9.46,AR
349,lasa,46.62,10.7,66.2,34.0,75.0,6.93,IT
350,narasannapeta,18.42,84.05,83.3,93.0,63.0,4.72,IN
351,mulchen,-37.72,-72.23,48.2,66.0,55.0,8.05,CL
352,amalapuram,16.58,82.02,82.54,92.0,94.0,2.82,IN
353,hambantota,6.12,81.12,80.6,88.0,40.0,9.17,LK
